color,type,pack
brown,plain,30
orange,plain,30
green,plain,30
orange,plain,30
orange,plain,30
red,plain,30
orange,plain,30
green,plain,30
yellow,plain,30
yellow,plain,30
green,plain,30
orange,plain,30
orange,plain,30
red,plain,30
red,plain,30
blue,plain,30
orange,plain,30
red,plain,30
green,plain,30
blue,plain,30
orange,plain,30
red,plain,30
orange,plain,30
yellow,plain,30
yellow,plain,30
brown,plain,30
orange,plain,30
red,plain,30
green,plain,30
brown,plain,31
green,plain,31
yellow,plain,31
yellow,plain,31
blue,plain,31
green,plain,31
brown,plain,31
yellow,plain,31
blue,plain,31
green,plain,31
blue,plain,31
brown,plain,31
green,plain,31
red,plain,31
brown,plain,31
orange,plain,31
yellow,plain,31
yellow,plain,31
green,plain,31
yellow,plain,31
orange,plain,31
red,plain,31
blue,plain,31
orange,plain,31
green,plain,31
green,plain,31
blue,plain,31
green,plain,31
green,plain,31
orange,plain,31
green,plain,31
red,plain,31
green,plain,31
red,plain,31
green,plain,31
orange,plain,31
green,plain,31
blue,plain,31
yellow,plain,31
orange,plain,31
blue,plain,31
green,plain,31
green,plain,31
orange,plain,31
red,plain,31
brown,plain,31
blue,plain,31
brown,plain,31
brown,plain,31
green,plain,31
yellow,plain,31
orange,plain,31
yellow,plain,31
orange,plain,31
yellow,plain,31
brown,plain,32
brown,plain,32
green,plain,32
blue,plain,32
red,plain,32
orange,plain,32
orange,plain,32
yellow,plain,32
orange,plain,32
blue,plain,32
blue,plain,32
brown,plain,32
yellow,plain,32
blue,plain,32
green,plain,32
orange,plain,32
red,plain,32
blue,plain,32
orange,plain,32
orange,plain,32
red,plain,32
brown,plain,32
orange,plain,32
green,plain,32
orange,plain,32
red,plain,32
blue,plain,32
orange,plain,32
blue,plain,32
red,plain,32
brown,plain,32
blue,plain,32
green,plain,32
yellow,plain,32
green,plain,32
brown,plain,32
blue,plain,32
blue,plain,32
green,plain,32
yellow,plain,32
green,plain,32
yellow,plain,32
blue,plain,32
blue,plain,32
red,plain,32
red,plain,32
blue,plain,32
red,plain,32
orange,plain,32
red,plain,32
brown,plain,32
brown,plain,32
orange,plain,32
red,plain,32
green,plain,33
yellow,plain,33
red,plain,33
orange,plain,33
yellow,plain,33
brown,plain,33
orange,plain,33
red,plain,33
red,plain,33
yellow,plain,33
orange,plain,33
orange,plain,33
blue,plain,33
orange,plain,33
red,plain,33
blue,plain,33
blue,plain,33
orange,plain,33
orange,plain,33
blue,plain,33
blue,plain,33
orange,plain,33
red,plain,33
blue,plain,33
blue,plain,33
red,plain,33
orange,plain,33
yellow,plain,33
blue,plain,33
brown,plain,33
red,plain,33
brown,plain,33
yellow,plain,33
orange,plain,33
green,plain,33
brown,plain,33
blue,plain,33
blue,plain,33
orange,plain,33
green,plain,33
orange,plain,33
