country	lifexp-2011	fertilrate-2011	lifexp-2000	fertilrate-2000	lifexp-1990	fertilrate-1990
Ireland	80.49512195	2.05	76.54073171	1.89	74.74131707	2.12
"Iran, Islamic Rep."	73.44931707	1.912	69.60770732	2.193	63.44595122	4.819
Iraq	69.01578049	4.147	70.82992683	4.965	68.40256098	5.882
Iceland	82.35853659	2.02	79.65365854	2.08	78.03634146	2.31
Israel	81.75609756	3	78.95365854	2.95	76.60731707	2.824
Italy	82.08780488	1.41	79.42682927	1.26	76.85902439	1.26
Jamaica	73.07639024	2.309	70.47129268	2.603	70.65370732	2.948
Jordan	73.59187805	3.386	71.7797561	4.053	69.92085366	5.536
Japan	82.59121951	1.39	81.07609756	1.359	78.83682927	1.54
Kazakhstan	68.89341463	2.59	65.51707317	1.8	68.33658537	2.72
Kenya	60.37090244	4.538	52.84012195	5.012	59.11534146	6.037
Kyrgyz Republic	69.60243902	3.06	68.55853659	2.4	68.29756098	3.69
Cambodia	71.05109756	2.929	61.88726829	3.75	54.753	5.623
Kiribati	68.20960976	3.014	64.60646341	3.881	60.6375122	4.632
St. Kitts and Nevis						
"Korea, Rep."	80.86585366	1.244	75.8554878	1.47	71.29487805	1.59
Kosovo	70.14878049	2.2	67.95121951	2.9543	67.75878049	3.9028
Kuwait	74.2582439	2.652	73.35521951	2.869	72.25953659	2.358
Latin America & Caribbean (developing only)	74.22113637	2.220715622	71.41538546	2.673075027	68.06050946	3.246451078
Lao PDR	67.35495122	3.2	61.64446341	4.19	54.11956098	6.152
Lebanon	79.55892683	1.502	74.39082927	2.226	70.22114634	3.002
Liberia	59.85987805	4.945	52.40912195	5.88	47.20243902	6.499
Libya	74.98746341	2.467	71.96621951	3.052	68.56485366	4.966
St. Lucia	74.55295122	1.96	71.42353659	2.313	71.04943902	3.398
Latin America & Caribbean (all income levels)	74.39913479	2.204527269	71.62795801	2.645630987	68.30954471	3.20932322
Least developed countries: UN classification	60.72124138	4.310847786	55.42641052	5.158153793	52.06985959	5.974435892
Low income	61.13582207	4.148941061	55.68070304	4.885732594	53.41991437	5.650632743
Liechtenstein		1.69		1.57		
Sri Lanka	73.89929268	2.347	71.15712195	2.237	69.6794878	2.483
Lower middle income	66.0313005	2.919081889	62.81805983	3.376748156	60.11614379	4.162691359
Low & middle income	68.63507608	2.6359463	65.60052032	2.881706886	63.23918086	3.668896502
Lesotho	48.2197561	3.148	47.18297561	4.089	59.33109756	4.919
Lithuania	73.56341463	1.76	72.0195122	1.39	71.16073171	2.03
Luxembourg	80.98780488	1.52	77.87317073	1.76	75.00992683	1.62
Latvia	73.57560976	1.34	70.31463415	1.24	69.27317073	2.02
"Macao SAR, China"	79.90982927	1.031	77.62282927	0.939	75.27697561	1.694
St. Martin (French part)		1.8		1.8		2.1
Morocco	70.40912195	2.652	68.13858537	2.698	64.683	4.058
Monaco						
Moldova	68.57529268	1.469	66.898	1.568	67.46565854	2.413
Madagascar	63.79890244	4.59	58.47280488	5.548	51.00809756	6.258
Maldives	77.19287805	2.314	69.46160976	3.271	60.60426829	6.099
Middle East & North Africa (all income levels)	71.97975849	2.763541125	69.6659273	3.205373512	65.86173703	4.840348566
Mexico	76.91417073	2.248	74.26526829	2.659	70.79573171	3.375
Marshall Islands			65.23902439			
Middle income	69.91683477	2.395641891	67.11596214	2.602288749	64.6057276	3.413185521
"Macedonia, FYR"	74.8745122	1.443	73.24219512	1.678	71.14763415	2.244
Mali	54.19082927	6.85	49.0554878	6.836	46.46470732	7.062
Malta	82.00487805	1.38	78.2	1.7	75.17578049	2.05
Myanmar	64.7612439	1.98	62.02421951	2.428	58.69517073	3.415
Middle East & North Africa (developing only)	71.22223925	2.78413294	69.10234212	3.16522724	65.23959198	4.846052634
Montenegro	74.53936585	1.687	74.02136585	1.815	74.34104878	1.869
Mongolia	67.12470732	2.447	62.92370732	2.144	60.27034146	4.052
Northern Mariana Islands						
Mozambique	49.48782927	5.338	47.42541463	5.782	43.57931707	6.237
Mauritania	61.18695122	4.783	59.67292683	5.381	58.38612195	5.978
Mauritius	73.26682927	1.45	71.66341463	1.99	69.40487805	2.32
Malawi	54.13995122	5.554	46.03421951	6.254	47.11682927	6.997
Malaysia	74.66839024	1.986	72.85141463	2.825	70.7574878	3.515
