INSTITUTION,TYPE,STATE,ROOM_BOARD,INSTATE_TUITION,INSTATE_TOTAL,OUTOFSTATE_TUITION,OUTOFSTATE_TOTAL
University of Mount OlivePrivate 4-year,Private_4_year,NC,8550,20600,29150,20600,29150
Wake Forest UniversityPrivate 4-year,Private_4_year,NC,16032,53322,69354,53322,69354
Warren Wilson CollegePrivate 4-year,Private_4_year,NC,10980,36280,47260,36280,47260
Wingate UniversityPrivate 4-year,Private_4_year,NC,10780,33166,43946,33166,43946
William Peace UniversityPrivate 4-year,Private_4_year,NC,11100,30500,41600,30500,41600
Dickinson State UniversityPublic 4-year,Public_4 year,ND,6898,6765,13663,9544,16442
Mayville State UniversityPublic 4-year,Public_4 year,ND,7840,6666,14506,9399,17239
Minot State UniversityPublic 4-year,Public_4 year,ND,6610,7064,13674,7064,13674
North Dakota State UniversityPublic 4-year,Public_4 year,ND,8565,9294,17859,13273,21838
University of North DakotaPublic 4-year,Public_4 year,ND,8974,8695,17669,20759,29733
Valley City State UniversityPublic 4-year,Public_4 year,ND,6446,7626,14072,17166,23612
Trinity Bible CollegePrivate 4-year,Private_4_year,ND,6132,16320,22452,16320,22452
University of JamestownPrivate 4-year,Private_4_year,ND,7570,21976,29546,21976,29546
University of MaryPrivate 4-year,Private_4_year,ND,6890,18720,25610,18720,25610
Chadron State CollegePublic 4-year,Public_4 year,NE,7380,7196,14576,7196,14576
Peru State CollegePublic 4-year,Public_4 year,NE,8010,7452,15462,7482,15492
University of Nebraska - KearneyPublic 4-year,Public_4 year,NE,9878,7513,17391,14503,24381
University of Nebraska - LincolnPublic 4-year,Public_4 year,NE,11430,9154,20584,24949,36379
University of Nebraska - OmahaPublic 4-year,Public_4 year,NE,9950,8417,18367,22689,32639
University of Nebraska Medical CenterPublic 4-year,Public_4 year,NE,NA,11558,11558,28898,28898
Wayne State CollegePublic 4-year,Public_4 year,NE,7668,6989,14657,12299,19967
Creative CenterFor-profit 4-year,For_profit_4_year,NE,NA,27700,27700,27700,27700
Bellevue UniversityPrivate 4-year,Private_4_year,NE,8730,9390,18120,9390,18120
Bryan College of Health SciencesPrivate 4-year,Private_4_year,NE,NA,18270,18270,18270,18270
Clarkson CollegePrivate 4-year,Private_4_year,NE,5398,16920,22318,16920,22318
College of Saint MaryPrivate 4-year,Private_4_year,NE,7700,20350,28050,20350,28050
Concordia UniversityPrivate 4-year,Private_4_year,NE,8470,32220,40690,32220,40690
Creighton UniversityPrivate 4-year,Private_4_year,NE,11036,39916,50952,39916,50952
Doane UniversityPrivate 4-year,Private_4_year,NE,9400,33800,43200,33800,43200
Grace UniversityPrivate 4-year,Private_4_year,NE,6912,23030,29942,23030,29942
Hastings CollegePrivate 4-year,Private_4_year,NE,9700,30050,39750,30050,39750
Midland UniversityPrivate 4-year,Private_4_year,NE,8776,32558,41334,32558,41334
Nebraska Christian CollegePrivate 4-year,Private_4_year,NE,9020,17665,26685,17665,26685
Nebraska Methodist College of Nursing and Allied HealthPrivate 4-year,Private_4_year,NE,9586,18048,27634,18048,27634
Nebraska Wesleyan UniversityPrivate 4-year,Private_4_year,NE,9622,34202,43824,34202,43824
Union CollegePrivate 4-year,Private_4_year,NE,7070,23780,30850,23780,30850
York CollegePrivate 4-year,Private_4_year,NE,7220,19310,26530,19310,26530
Granite State CollegePublic 4-year,Public_4 year,NH,NA,9645,9645,10875,10875
Keene State CollegePublic 4-year,Public_4 year,NH,11026,14212,25238,23176,34202
Plymouth State UniversityPublic 4-year,Public_4 year,NH,11100,14099,25199,22769,33869
University of New HampshirePublic 4-year,Public_4 year,NH,11580,18499,30079,33879,45459
University of New Hampshire at ManchesterPublic 4-year,Public_4 year,NH,NA,15265,15265,30635,30635
Colby-Sawyer CollegePrivate 4-year,Private_4_year,NH,14264,42398,56662,42398,56662
Dartmouth CollegePrivate 4-year,Private_4_year,NH,15756,55453,71209,55453,71209
Franklin Pierce UniversityPrivate 4-year,Private_4_year,NH,13345,36900,50245,36900,50245
New England CollegePrivate 4-year,Private_4_year,NH,14222,37914,52136,37914,52136
New Hampshire Institute of ArtPrivate 4-year,Private_4_year,NH,11460,28280,39740,28280,39740
Rivier UniversityPrivate 4-year,Private_4_year,NH,12526,31790,44316,31790,44316
Saint Anselm CollegePrivate 4-year,Private_4_year,NH,14500,41200,55700,41200,55700
Southern New Hampshire UniversityPrivate 4-year,Private_4_year,NH,13120,31136,44256,31136,44256
Thomas More College of Liberal ArtsPrivate 4-year,Private_4_year,NH,9700,21600,31300,21600,31300
Kean UniversityPublic 4-year,Public_4 year,NJ,14470,12348,26818,19383,33853
Montclair State UniversityPublic 4-year,Public_4 year,NJ,15564,12790,28354,20578,36142
New Jersey City UniversityPublic 4-year,Public_4 year,NJ,12738,12051,24789,21573,34311
New Jersey Institute of TechnologyPublic 4-year,Public_4 year,NJ,13600,17338,30938,32750,46350
Ramapo College of New JerseyPublic 4-year,Public_4 year,NJ,12450,14374,26824,23715,36165
Rowan UniversityPublic 4-year,Public_4 year,NJ,12552,13697,26249,22339,34891
Rutgers UniversityPublic 4-year,Public_4 year,NJ,12706,14974,27680,31282,43988
"Rutgers, The State University of New Jersey: Camden CampusPublic 4-year",Public_4 year,NJ,12336,14835,27171,30613,42949
"Rutgers, The State University of New Jersey: Newark CampusPublic 4-year",Public_4 year,NJ,13536,14409,27945,30717,44253
Stockton UniversityPublic 4-year,Public_4 year,NJ,12282,13739,26021,20866,33148
The College of New JerseyPublic 4-year,Public_4 year,NJ,13617,16551,30168,28266,41883
Thomas Edison State UniversityPublic 4-year,Public_4 year,NJ,NA,7519,7519,9967,9967
William Paterson University of New JerseyPublic 4-year,Public_4 year,NJ,11445,13060,24505,21260,32705
Beth Medrash GovohaPrivate 4-year,Private_4_year,NJ,4172,21388,25560,21388,25560
Bloomfield CollegePrivate 4-year,Private_4_year,NJ,11950,29550,41500,29550,41500
Caldwell UniversityPrivate 4-year,Private_4_year,NJ,12025,34715,46740,34715,46740
Centenary UniversityPrivate 4-year,Private_4_year,NJ,11444,32998,44442,32998,44442
College of St. ElizabethPrivate 4-year,Private_4_year,NJ,12744,33613,46357,33613,46357
Drew UniversityPrivate 4-year,Private_4_year,NJ,14108,39500,53608,39500,53608
Fairleigh Dickinson University: College at FlorhamPrivate 4-year,Private_4_year,NJ,13392,42618,56010,42618,56010
Fairleigh Dickinson University: Metropolitan CampusPrivate 4-year,Private_4_year,NJ,13348,40236,53584,40236,53584
Felician UniversityPrivate 4-year,Private_4_year,NJ,12880,34315,47195,34315,47195
Georgian Court UniversityPrivate 4-year,Private_4_year,NJ,10808,32876,43684,32876,43684
Monmouth UniversityPrivate 4-year,Private_4_year,NJ,13981,38138,52119,38138,52119
Pillar CollegePrivate 4-year,Private_4_year,NJ,NA,21700,21700,21700,21700
Princeton UniversityPrivate 4-year,Private_4_year,NJ,16290,49330,65620,49330,65620
Rabbi Jacob Joseph SchoolPrivate 4-year,Private_4_year,NJ,3300,14400,17700,14400,17700
Rabbinical College of AmericaPrivate 4-year,Private_4_year,NJ,7500,11500,19000,11500,19000
Rider UniversityPrivate 4-year,Private_4_year,NJ,14700,41310,56010,41310,56010
Saint Peter's UniversityPrivate 4-year,Private_4_year,NJ,15414,37486,52900,37486,52900
Seton Hall UniversityPrivate 4-year,Private_4_year,NJ,15800,42470,58270,42470,58270
Stevens Institute of TechnologyPrivate 4-year,Private_4_year,NJ,15244,52202,67446,52202,67446
Talmudical Academy of New JerseyPrivate 4-year,Private_4_year,NJ,3000,13300,16300,13300,16300
Eastern New Mexico UniversityPublic 4-year,Public_4 year,NM,7162,6206,13368,8128,15290
Institute of American Indian ArtsPublic 4-year,Public_4 year,NM,9604,4980,14584,4980,14584
New Mexico Highlands UniversityPublic 4-year,Public_4 year,NM,7872,6150,14022,10302,18174
New Mexico Institute of Mining and TechnologyPublic 4-year,Public_4 year,NM,8510,7770,16280,22268,30778
New Mexico State UniversityPublic 4-year,Public_4 year,NM,9252,7368,16620,23508,32760
Northern New Mexico CollegePublic 4-year,Public_4 year,NM,NA,4765,4765,4765,4765
University of New MexicoPublic 4-year,Public_4 year,NM,9864,5445,15309,26845,36709
Western New Mexico UniversityPublic 4-year,Public_4 year,NM,9136,6824,15960,15231,24367
St. John's CollegePrivate 4-year,Private_4_year,NM,12148,54118,66266,54118,66266
University of the SouthwestPrivate 4-year,Private_4_year,NM,8220,16000,24220,16000,24220
Great Basin CollegePublic 4-year,Public_4 year,NV,3366,3128,6494,9542,12908
Nevada State CollegePublic 4-year,Public_4 year,NV,NA,5438,5438,17458,17458
University of Nevada: Las VegasPublic 4-year,Public_4 year,NV,10504,7985,18489,22457,32961
University of Nevada: RenoPublic 4-year,Public_4 year,NV,10868,7925,18793,22397,33265
Roseman University of Health SciencesPrivate 4-year,Private_4_year,NV,NA,37309,37309,37309,37309
Sierra Nevada CollegePrivate 4-year,Private_4_year,NV,13357,34241,47598,34241,47598
City University of New York: Baruch CollegePublic 4-year,Public_4 year,NY,15178,7261,22439,18531,33709
City University of New York: Brooklyn CollegePublic 4-year,Public_4 year,NY,NA,7240,7240,18510,18510
City University of New York: City CollegePublic 4-year,Public_4 year,NY,18124,7140,25264,18410,36534
City University of New York: College of Staten IslandPublic 4-year,Public_4 year,NY,18265,7289,25554,18559,36824
City University of New York: Hunter CollegePublic 4-year,Public_4 year,NY,9714,7180,16894,18450,28164
City University of New York: John Jay College of Criminal JusticePublic 4-year,Public_4 year,NY,17750,7270,25020,18540,36290
City University of New York: Lehman CollegePublic 4-year,Public_4 year,NY,11820,7209,19029,18479,30299
City University of New York: Medgar Evers CollegePublic 4-year,Public_4 year,NY,NA,7153,7153,18423,18423
City University of New York: New York City College of TechnologyPublic 4-year,Public_4 year,NY,NA,7120,7120,18390,18390
City University of New York: Queens CollegePublic 4-year,Public_4 year,NY,12380,7338,19718,18608,30988
City University of New York: York CollegePublic 4-year,Public_4 year,NY,NA,7157,7157,18427,18427
Fashion Institute of TechnologyPublic 4-year,Public_4 year,NY,14480,5740,20220,15520,30000
SUNY College at BrockportPublic 4-year,Public_4 year,NY,13358,8412,21770,18192,31550
SUNY College at BuffaloPublic 4-year,Public_4 year,NY,14050,8210,22260,17990,32040
SUNY College at CortlandPublic 4-year,Public_4 year,NY,12486,8558,21044,18338,30824
SUNY College at FredoniaPublic 4-year,Public_4 year,NY,12630,8488,21118,18268,30898
SUNY College at GeneseoPublic 4-year,Public_4 year,NY,13610,8651,22261,18431,32041
SUNY College at New PaltzPublic 4-year,Public_4 year,NY,13462,8254,21716,18034,31496
SUNY College at Old WestburyPublic 4-year,Public_4 year,NY,11530,8143,19673,17923,29453
SUNY College at OneontaPublic 4-year,Public_4 year,NY,12794,8166,20960,17816,30610
SUNY College at OswegoPublic 4-year,Public_4 year,NY,14140,8440,22580,18220,32360
SUNY College at PlattsburghPublic 4-year,Public_4 year,NY,12988,8479,21467,18259,31247
SUNY College at PotsdamPublic 4-year,Public_4 year,NY,13390,8462,21852,18242,31632
SUNY College at PurchasePublic 4-year,Public_4 year,NY,13764,8698,22462,18478,32242
SUNY College of Agriculture and Technology at MorrisvillePublic 4-year,Public_4 year,NY,13550,8481,22031,12943,26493
SUNY College of Environmental Science and ForestryPublic 4-year,Public_4 year,NY,16600,8804,25404,18584,35184
SUNY College of Technology at AlfredPublic 4-year,Public_4 year,NY,12570,8570,21140,18350,30920
SUNY Downstate Medical CenterPublic 4-year,Public_4 year,NY,NA,7481,7481,16931,16931
SUNY Empire State CollegePublic 4-year,Public_4 year,NY,NA,7405,7405,17185,17185
SUNY Farmingdale State CollegePublic 4-year,Public_4 year,NY,13238,8306,21544,18086,31324
SUNY Maritime CollegePublic 4-year,Public_4 year,NY,12522,8283,20805,18063,30585
SUNY Polytechnic InstitutePublic 4-year,Public_4 year,NY,12722,8448,21170,18228,30950
SUNY University at AlbanyPublic 4-year,Public_4 year,NY,13664,9756,23420,26596,40260
SUNY University at BinghamtonPublic 4-year,Public_4 year,NY,15058,9808,24866,24488,39546
SUNY University at BuffaloPublic 4-year,Public_4 year,NY,14213,10099,24312,27769,41982
SUNY University at Stony BrookPublic 4-year,Public_4 year,NY,13698,9625,23323,27295,40993
SUNY Upstate Medical UniversityPublic 4-year,Public_4 year,NY,NA,7706,7706,17486,17486
Five Towns CollegeFor-profit 4-year,For_profit_4_year,NY,12820,21640,34460,21640,34460
LIM CollegeFor-profit 4-year,For_profit_4_year,NY,20350,27030,47380,27030,47380
Monroe CollegeFor-profit 4-year,For_profit_4_year,NY,10850,15428,26278,15428,26278
School of Visual ArtsFor-profit 4-year,For_profit_4_year,NY,17500,39900,57400,39900,57400
Adelphi UniversityPrivate 4-year,Private_4_year,NY,16030,38660,54690,38660,54690
Albany College of Pharmacy and Health SciencesPrivate 4-year,Private_4_year,NY,10920,35105,46025,35105,46025
Alfred UniversityPrivate 4-year,Private_4_year,NY,12516,33484,46000,33484,46000
Bard CollegePrivate 4-year,Private_4_year,NY,15488,54680,70168,54680,70168
Beth Hatalmud Rabbinical CollegePrivate 4-year,Private_4_year,NY,NA,11750,11750,11750,11750
Barnard CollegePrivate 4-year,Private_4_year,NY,17225,55032,72257,55032,72257
Beis Medrash Heichal DovidPrivate 4-year,Private_4_year,NY,4500,9500,14000,9500,14000
Boricua CollegePrivate 4-year,Private_4_year,NY,NA,11025,11025,11025,11025
Canisius CollegePrivate 4-year,Private_4_year,NY,11300,28488,39788,28488,39788
Cazenovia CollegePrivate 4-year,Private_4_year,NY,14596,34630,49226,34630,49226
Central Yeshiva Tomchei Tmimim-LubavitchPrivate 4-year,Private_4_year,NY,3500,7700,11200,7700,11200
Clarkson UniversityPrivate 4-year,Private_4_year,NY,14908,49444,64352,49444,64352
Colgate UniversityPrivate 4-year,Private_4_year,NY,13995,55870,69865,55870,69865
College of Mount St. VincentPrivate 4-year,Private_4_year,NY,10500,38180,48680,38180,48680
College of New RochellePrivate 4-year,Private_4_year,NY,14592,37760,52352,37760,52352
College of Saint RosePrivate 4-year,Private_4_year,NY,12714,32574,45288,32574,45288
Columbia UniversityPrivate 4-year,Private_4_year,NY,14016,59985,74001,59985,74001
Columbia University: School of General StudiesPrivate 4-year,Private_4_year,NY,14190,57549,71739,57549,71739
Concordia CollegePrivate 4-year,Private_4_year,NY,12690,32900,45590,32900,45590
Cooper Union for the Advancement of Science and ArtPrivate 4-year,Private_4_year,NY,16638,46700,63338,46700,63338
Cornell UniversityPrivate 4-year,Private_4_year,NY,14816,55188,70004,55188,70004
Culinary Institute of AmericaPrivate 4-year,Private_4_year,NY,11560,32720,44280,32720,44280
D'Youville CollegePrivate 4-year,Private_4_year,NY,12224,26750,38974,26750,38974
Daemen CollegePrivate 4-year,Private_4_year,NY,12915,28580,41495,28580,41495
Davis CollegePrivate 4-year,Private_4_year,NY,8100,17150,25250,17150,25250
Dominican College of BlauveltPrivate 4-year,Private_4_year,NY,13150,29000,42150,29000,42150
Eastman School of Music of the University of RochesterPrivate 4-year,Private_4_year,NY,15862,54584,70446,54584,70446
Elmira CollegePrivate 4-year,Private_4_year,NY,12000,41900,53900,41900,53900
Eugene Lang College The New School for Liberal ArtsPrivate 4-year,Private_4_year,NY,18000,48191,66191,48191,66191
Fordham UniversityPrivate 4-year,Private_4_year,NY,17969,52687,70656,52687,70656
Hamilton CollegePrivate 4-year,Private_4_year,NY,13870,54620,68490,54620,68490
Hartwick CollegePrivate 4-year,Private_4_year,NY,12460,45510,57970,45510,57970
Hilbert CollegePrivate 4-year,Private_4_year,NY,9350,22400,31750,22400,31750
Hobart and William Smith CollegesPrivate 4-year,Private_4_year,NY,14785,55255,70040,55255,70040
Hofstra UniversityPrivate 4-year,Private_4_year,NY,15948,46760,62708,46760,62708
Holy Trinity Orthodox SeminaryPrivate 4-year,Private_4_year,NY,5290,7700,12990,7700,12990
Houghton CollegePrivate 4-year,Private_4_year,NY,9288,32488,41776,32488,41776
Iona CollegePrivate 4-year,Private_4_year,NY,15278,38812,54090,38812,54090
Ithaca CollegePrivate 4-year,Private_4_year,NY,15562,43978,59540,43978,59540
Jewish Theological Seminary of AmericaPrivate 4-year,Private_4_year,NY,12570,51326,63896,51326,63896
Juilliard SchoolPrivate 4-year,Private_4_year,NY,16950,45360,62310,45360,62310
Kehilath Yakov Rabbinical SeminaryPrivate 4-year,Private_4_year,NY,2800,9700,12500,9700,12500
Keuka CollegePrivate 4-year,Private_4_year,NY,11906,32093,43999,32093,43999
Le Moyne CollegePrivate 4-year,Private_4_year,NY,13780,34625,48405,34625,48405
LIU BrooklynPrivate 4-year,Private_4_year,NY,14020,37715,51735,37715,51735
LIU PostPrivate 4-year,Private_4_year,NY,14020,37715,51735,37715,51735
Machzikei Hadath Rabbinical CollegePrivate 4-year,Private_4_year,NY,NA,11500,11500,11500,11500
Manhattan CollegePrivate 4-year,Private_4_year,NY,16200,43480,59680,43480,59680
Manhattan School of MusicPrivate 4-year,Private_4_year,NY,13135,47300,60435,47300,60435
Manhattanville CollegePrivate 4-year,Private_4_year,NY,14520,38820,53340,38820,53340
Marist CollegePrivate 4-year,Private_4_year,NY,15550,39600,55150,39600,55150
Marymount Manhattan CollegePrivate 4-year,Private_4_year,NY,16832,33778,50610,33778,50610
Medaille CollegePrivate 4-year,Private_4_year,NY,13500,29500,43000,29500,43000
Medaille College: RochesterPrivate 4-year,Private_4_year,NY,NA,29500,29500,29500,29500
Mercy CollegePrivate 4-year,Private_4_year,NY,14400,19042,33442,19042,33442
Mesivta Torah Vodaath SeminaryPrivate 4-year,Private_4_year,NY,4500,10000,14500,10000,14500
Metropolitan College of New YorkPrivate 4-year,Private_4_year,NY,NA,19454,19454,19454,19454
Mirrer Yeshiva Central InstitutePrivate 4-year,Private_4_year,NY,6172,7260,13432,7260,13432
Molloy CollegePrivate 4-year,Private_4_year,NY,15032,31490,46522,31490,46522
Mount Saint Mary CollegePrivate 4-year,Private_4_year,NY,15108,31118,46226,31118,46226
Nazareth CollegePrivate 4-year,Private_4_year,NY,13580,34280,47860,34280,47860
New York Institute of TechnologyPrivate 4-year,Private_4_year,NY,14290,36890,51180,36890,51180
New York School of Interior DesignPrivate 4-year,Private_4_year,NY,21300,30834,52134,30834,52134
New York UniversityPrivate 4-year,Private_4_year,NY,18156,51828,69984,51828,69984
Niagara UniversityPrivate 4-year,Private_4_year,NY,13200,33180,46380,33180,46380
Nyack CollegePrivate 4-year,Private_4_year,NY,9450,25350,34800,25350,34800
Ohr Somayach Tanenbaum Education CenterPrivate 4-year,Private_4_year,NY,9000,9000,18000,9000,18000
Pace UniversityPrivate 4-year,Private_4_year,NY,19200,45280,64480,45280,64480
Pace University: Pleasantville/BriarcliffPrivate 4-year,Private_4_year,NY,16600,45280,61880,45280,61880
Parsons The New School for DesignPrivate 4-year,Private_4_year,NY,18000,49847,67847,49847,67847
Paul Smith's CollegePrivate 4-year,Private_4_year,NY,12240,28484,40724,28484,40724
Pratt InstitutePrivate 4-year,Private_4_year,NY,12622,51870,64492,51870,64492
Rabbinical Academy Mesivta Rabbi Chaim BerlinPrivate 4-year,Private_4_year,NY,3000,12800,15800,12800,15800
Rabbinical College Beth ShragaPrivate 4-year,Private_4_year,NY,5700,13550,19250,13550,19250
Rabbinical College Bobover Yeshiva B'nei ZionPrivate 4-year,Private_4_year,NY,4500,7750,12250,7750,12250
Rabbinical College of Long IslandPrivate 4-year,Private_4_year,NY,4900,11575,16475,11575,16475
Rabbinical College of Ohr Shimon YisroelPrivate 4-year,Private_4_year,NY,1600,13500,15100,13500,15100
Rabbinical Seminary of AmericaPrivate 4-year,Private_4_year,NY,6000,9800,15800,9800,15800
Rensselaer Polytechnic InstitutePrivate 4-year,Private_4_year,NY,15260,53880,69140,53880,69140
Roberts Wesleyan CollegePrivate 4-year,Private_4_year,NY,10628,31818,42446,31818,42446
Rochester Institute of TechnologyPrivate 4-year,Private_4_year,NY,13046,44130,57176,44130,57176
Saint Bonaventure UniversityPrivate 4-year,Private_4_year,NY,13055,34301,47356,34301,47356
Sarah Lawrence CollegePrivate 4-year,Private_4_year,NY,15370,55900,71270,55900,71270
Shor Yoshuv Rabbinical CollegePrivate 4-year,Private_4_year,NY,6000,9460,15460,9460,15460
Siena CollegePrivate 4-year,Private_4_year,NY,15000,37575,52575,37575,52575
Skidmore CollegePrivate 4-year,Private_4_year,NY,14494,54420,68914,54420,68914
St. Francis CollegePrivate 4-year,Private_4_year,NY,14500,26188,40688,26188,40688
St. John Fisher CollegePrivate 4-year,Private_4_year,NY,12400,34310,46710,34310,46710
St. John's UniversityPrivate 4-year,Private_4_year,NY,17280,41760,59040,41760,59040
St. Joseph's College New York: Suffolk CampusPrivate 4-year,Private_4_year,NY,NA,27860,27860,27860,27860
"St. Joseph's College, New YorkPrivate 4-year",Private_4_year,NY,NA,27850,27850,27850,27850
St. Lawrence UniversityPrivate 4-year,Private_4_year,NY,14134,54846,68980,54846,68980
St. Thomas Aquinas CollegePrivate 4-year,Private_4_year,NY,13250,31950,45200,31950,45200
Syracuse UniversityPrivate 4-year,Private_4_year,NY,15550,51853,67403,51853,67403
Talmudical Institute of Upstate New YorkPrivate 4-year,Private_4_year,NY,4400,6150,10550,6150,10550
Talmudical Seminary Oholei TorahPrivate 4-year,Private_4_year,NY,7700,9800,17500,9800,17500
The King's CollegePrivate 4-year,Private_4_year,NY,14000,36450,50450,36450,50450
The New School College of Performing ArtsPrivate 4-year,Private_4_year,NY,18000,48191,66191,48191,66191
The Sage CollegesPrivate 4-year,Private_4_year,NY,12618,30857,43475,30857,43475
Torah Temimah Talmudical SeminaryPrivate 4-year,Private_4_year,NY,3500,11050,14550,11050,14550
Touro CollegePrivate 4-year,Private_4_year,NY,10396,16953,27349,16953,27349
U.T.A. Mesivta-Kiryas JoelPrivate 4-year,Private_4_year,NY,4600,11000,15600,11000,15600
Union CollegePrivate 4-year,Private_4_year,NY,13563,55290,68853,55290,68853
United Talmudical SeminaryPrivate 4-year,Private_4_year,NY,1500,13800,15300,13800,15300
University of RochesterPrivate 4-year,Private_4_year,NY,15938,53926,69864,53926,69864
Utica CollegePrivate 4-year,Private_4_year,NY,11248,21382,32630,21382,32630
Vassar CollegePrivate 4-year,Private_4_year,NY,13550,56960,70510,56960,70510
Vaughn College of Aeronautics and TechnologyPrivate 4-year,Private_4_year,NY,14550,25710,40260,25710,40260
Villa Maria College of BuffaloPrivate 4-year,Private_4_year,NY,NA,22600,22600,22600,22600
Wagner CollegePrivate 4-year,Private_4_year,NY,14124,47090,61214,47090,61214
Webb InstitutePrivate 4-year,Private_4_year,NY,15050,50175,65225,50175,65225
Wells CollegePrivate 4-year,Private_4_year,NY,14100,40700,54800,40700,54800
Yeshiva and Kolel Bais Medrash ElyonPrivate 4-year,Private_4_year,NY,2800,11500,14300,11500,14300
Yeshiva D'Monsey Rabbinical CollegePrivate 4-year,Private_4_year,NY,2250,7900,10150,7900,10150
Yeshiva Derech ChaimPrivate 4-year,Private_4_year,NY,3800,12100,15900,12100,15900
Yeshiva Gedolah Imrei Yosef D'SpinkaPrivate 4-year,Private_4_year,NY,NA,8000,8000,8000,8000
Yeshiva Karlin StolinPrivate 4-year,Private_4_year,NY,4000,12000,16000,12000,16000
Yeshiva of NitraPrivate 4-year,Private_4_year,NY,4500,8500,13000,8500,13000
Yeshiva Shaar HatorahPrivate 4-year,Private_4_year,NY,NA,17650,17650,17650,17650
Yeshiva Shaarei Torah of RocklandPrivate 4-year,Private_4_year,NY,3500,12500,16000,12500,16000
Yeshiva UniversityPrivate 4-year,Private_4_year,NY,12250,43500,55750,43500,55750
Yeshivath ViznitzPrivate 4-year,Private_4_year,NY,4050,10000,14050,10000,14050
Bowling Green State UniversityPublic 4-year,Public_4 year,OH,9168,11105,20273,19093,28261
Central State UniversityPublic 4-year,Public_4 year,OH,10232,6346,16578,8346,18578
Cleveland State UniversityPublic 4-year,Public_4 year,OH,13560,10625,24185,14992,28552
Kent State UniversityPublic 4-year,Public_4 year,OH,11362,10012,21374,18714,30076
Miami University: OxfordPublic 4-year,Public_4 year,OH,13860,15378,29238,34895,48755
Ohio State University: Columbus CampusPublic 4-year,Public_4 year,OH,12434,10726,23160,30742,43176
Ohio State University: Lima CampusPublic 4-year,Public_4 year,OH,NA,7644,7644,27660,27660
Ohio State University: Mansfield CampusPublic 4-year,Public_4 year,OH,8094,7644,15738,27660,35754
Ohio State University: Marion CampusPublic 4-year,Public_4 year,OH,NA,7644,7644,27660,27660
Ohio State University: Newark CampusPublic 4-year,Public_4 year,OH,9268,7644,16912,27660,36928
Ohio UniversityPublic 4-year,Public_4 year,OH,11830,12192,24022,21656,33486
Ohio University: Chillicothe CampusPublic 4-year,Public_4 year,OH,NA,5060,5060,9596,9596
Ohio University: Eastern CampusPublic 4-year,Public_4 year,OH,NA,4830,4830,6742,6742
Ohio University: Lancaster CampusPublic 4-year,Public_4 year,OH,NA,5490,5490,8482,8482
Ohio University: Southern Campus at IrontonPublic 4-year,Public_4 year,OH,NA,4872,4872,6718,6718
Ohio University: Zanesville CampusPublic 4-year,Public_4 year,OH,NA,5490,5490,8482,8482
Shawnee State UniversityPublic 4-year,Public_4 year,OH,10864,8556,19420,14714,25578
University of AkronPublic 4-year,Public_4 year,OH,12200,11463,23663,17750,29950
University of CincinnatiPublic 4-year,Public_4 year,OH,11118,11000,22118,26334,37452
University of ToledoPublic 4-year,Public_4 year,OH,11434,9795,21229,19133,30567
Wright State UniversityPublic 4-year,Public_4 year,OH,11832,9254,21086,18398,30230
Youngstown State UniversityPublic 4-year,Public_4 year,OH,9400,8950,18350,14950,24350
Allegheny Wesleyan CollegePrivate 4-year,Private_4_year,OH,4000,6400,10400,6400,10400
Antioch CollegePrivate 4-year,Private_4_year,OH,7640,35718,43358,35718,43358
Antioch University MidwestPrivate 4-year,Private_4_year,OH,NA,16210,16210,16210,16210
Art Academy of CincinnatiPrivate 4-year,Private_4_year,OH,6700,33889,40589,33889,40589
Ashland UniversityPrivate 4-year,Private_4_year,OH,9941,21342,31283,21342,31283
Baldwin Wallace UniversityPrivate 4-year,Private_4_year,OH,9554,32586,42140,32586,42140
Bluffton UniversityPrivate 4-year,Private_4_year,OH,10800,32766,43566,32766,43566
Capital UniversityPrivate 4-year,Private_4_year,OH,10842,35466,46308,35466,46308
Case Western Reserve UniversityPrivate 4-year,Private_4_year,OH,15190,49042,64232,49042,64232
Cedarville UniversityPrivate 4-year,Private_4_year,OH,7360,30270,37630,30270,37630
Cincinnati Christian UniversityPrivate 4-year,Private_4_year,OH,8360,17528,25888,17528,25888
Cleveland Institute of ArtPrivate 4-year,Private_4_year,OH,14386,42055,56441,42055,56441
Cleveland Institute of MusicPrivate 4-year,Private_4_year,OH,15048,41987,57035,41987,57035
College of WoosterPrivate 4-year,Private_4_year,OH,11850,50250,62100,50250,62100
Columbus College of Art and DesignPrivate 4-year,Private_4_year,OH,9570,36020,45590,36020,45590
Defiance CollegePrivate 4-year,Private_4_year,OH,10220,32730,42950,32730,42950
Denison UniversityPrivate 4-year,Private_4_year,OH,12710,51960,64670,51960,64670
Franciscan University of SteubenvillePrivate 4-year,Private_4_year,OH,8500,27630,36130,27630,36130
Franklin UniversityPrivate 4-year,Private_4_year,OH,NA,15805,15805,15805,15805
God's Bible School and CollegePrivate 4-year,Private_4_year,OH,NA,4270,4270,4270,4270
Heidelberg UniversityPrivate 4-year,Private_4_year,OH,10400,31000,41400,31000,41400
Hiram CollegePrivate 4-year,Private_4_year,OH,10290,34300,44590,34300,44590
John Carroll UniversityPrivate 4-year,Private_4_year,OH,11874,41340,53214,41340,53214
Kenyon CollegePrivate 4-year,Private_4_year,OH,12510,55930,68440,55930,68440
Kettering CollegePrivate 4-year,Private_4_year,OH,4100,16200,20300,16200,20300
