INSTITUTION,TYPE,STATE,ROOM_BOARD,INSTATE_TUITION,INSTATE_TOTAL,OUTOFSTATE_TUITION,OUTOFSTATE_TOTAL
Flagler CollegePrivate 4-year,Private_4_year,FL,11340,18950,30290,18950,30290
Florida CollegePrivate 4-year,Private_4_year,FL,8370,17142,25512,17142,25512
Florida Institute of TechnologyPrivate 4-year,Private_4_year,FL,12880,41850,54730,41850,54730
Florida Memorial UniversityPrivate 4-year,Private_4_year,FL,7816,15536,23352,15536,23352
Florida Southern CollegePrivate 4-year,Private_4_year,FL,11650,36348,47998,36348,47998
Hobe Sound Bible CollegePrivate 4-year,Private_4_year,FL,6170,6490,12660,6490,12660
Hodges UniversityPrivate 4-year,Private_4_year,FL,NA,17600,17600,17600,17600
Jacksonville UniversityPrivate 4-year,Private_4_year,FL,14080,36670,50750,36670,50750
Johnson & Wales University: North MiamiPrivate 4-year,Private_4_year,FL,12564,32091,44655,32091,44655
Johnson University: FloridaPrivate 4-year,Private_4_year,FL,7040,16060,23100,16060,23100
Keiser UniversityPrivate 4-year,Private_4_year,FL,NA,29920,29920,29920,29920
Lynn UniversityPrivate 4-year,Private_4_year,FL,12170,38210,50380,38210,50380
Nova Southeastern UniversityPrivate 4-year,Private_4_year,FL,13250,30900,44150,30900,44150
Palm Beach Atlantic UniversityPrivate 4-year,Private_4_year,FL,10120,31450,41570,31450,41570
Ringling College of Art and DesignPrivate 4-year,Private_4_year,FL,15070,46420,61490,46420,61490
Rollins CollegePrivate 4-year,Private_4_year,FL,14735,49760,64495,49760,64495
Saint Leo UniversityPrivate 4-year,Private_4_year,FL,10570,22280,32850,22280,32850
Saint Thomas UniversityPrivate 4-year,Private_4_year,FL,11700,33222,44922,33222,44922
Southeastern UniversityPrivate 4-year,Private_4_year,FL,9550,25360,34910,25360,34910
St. John Vianney College SeminaryPrivate 4-year,Private_4_year,FL,11000,21000,32000,21000,32000
Stetson UniversityPrivate 4-year,Private_4_year,FL,13052,46030,59082,46030,59082
Talmudic UniversityPrivate 4-year,Private_4_year,FL,8000,13250,21250,13250,21250
Trinity Baptist CollegePrivate 4-year,Private_4_year,FL,7040,12140,19180,12140,19180
Trinity College of FloridaPrivate 4-year,Private_4_year,FL,6650,16340,22990,16340,22990
