Occupation,Numworkers,median_wage,male_worker,male_wage,female_worker,female_wage
Barbers,48,NA,34,NA,15,NA
"Hairdressers, hairstylists, and cosmetologists",309,545,22,NA,287,548
Miscellaneous personal appearance workers,258,523,52,615,206,512
"Baggage porters, bellhops, and concierges",73,620,59,652,13,NA
Tour and travel guides,22,NA,13,NA,9,NA
Childcare workers,437,500,32,NA,405,492
Personal care aides,786,500,132,555,654,493
Recreation and fitness workers,208,603,100,724,109,543
Residential advisors,29,NA,11,NA,18,NA
"Personal care and service workers, all other",74,522,32,NA,42,NA
Sales and office occupations,"23,714",742,"9,548",846,"14,166",696
Sales and related occupations,"10,077",798,"5,621",949,"4,455",651
FirstNAline supervisors of retail sales workers,"2,421",795,"1,359",911,"1,062",672
FirstNAline supervisors of nonNAretail sales workers,893,"1,153",588,"1,199",305,"1,054"
Cashiers,"1,390",465,377,468,"1,013",463
Counter and rental clerks,82,729,51,769,30,NA
Parts salespersons,109,702,98,718,11,NA
Retail salespersons,"1,860",657,"1,144",764,716,543
Advertising sales agents,169,998,91,950,79,"1,053"
Insurance sales agents,466,859,205,"1,048",261,809
"Securities, commodities, and financial services sales agents",197,"1,440",131,"1,639",66,"1,047"
Travel agents,53,789,10,NA,43,NA
"Sales representatives, services, all other",427,"1,230",315,"1,345",113,933
"Sales representatives, wholesale and manufacturing","1,112","1,161",817,"1,239",295,"1,009"
"Models, demonstrators, and product promoters",15,NA,3,NA,11,NA
Real estate brokers and sales agents,528,"1,019",236,"1,264",291,883
Sales engineers,38,NA,34,NA,4,NA
Telemarketers,50,559,19,NA,31,NA
"DoorNAtoNAdoor sales workers, news and street vendors, and related workers",41,NA,25,NA,17,NA
"Sales and related workers, all other",227,"1,036",118,"1,323",109,873
Office and administrative support occupations,"13,637",717,"3,926",738,"9,711",711
FirstNAline supervisors of office and administrative support workers,"1,279",885,386,"1,050",892,835
"Switchboard operators, including answering service",21,NA,3,NA,19,NA
Telephone operators,29,NA,6,NA,22,NA
"Communications equipment operators, all other",7,NA,5,NA,2,NA
Bill and account collectors,114,711,28,NA,85,694
Billing and posting clerks,417,721,56,664,361,725
"Bookkeeping, accounting, and auditing clerks",679,742,104,778,575,739
Gaming cage workers,7,NA,1,NA,6,NA
Payroll and timekeeping clerks,111,827,11,NA,100,807
Procurement clerks,30,NA,16,NA,14,NA
Tellers,240,584,34,NA,206,584
"Financial clerks, all other",77,839,30,NA,48,NA
Brokerage clerks,5,NA,2,NA,4,NA
Correspondence clerks,5,NA,2,NA,3,NA
"Court, municipal, and license clerks",78,897,17,NA,61,804
"Credit authorizers, checkers, and clerks",50,818,21,NA,30,NA
Customer service representatives,"1,904",683,678,689,"1,226",680
"Eligibility interviewers, government programs",67,887,14,NA,53,841
File clerks,110,650,23,NA,86,624
"Hotel, motel, and resort desk clerks",85,520,29,NA,56,505
"Interviewers, except eligibility and loan",114,702,18,NA,96,686
"Library assistants, clerical",34,NA,8,NA,26,NA
Loan interviewers and clerks,115,827,16,NA,99,797
New accounts clerks,21,NA,8,NA,13,NA
Order clerks,57,659,28,NA,29,NA
